Fichier	Source (Wikimedia Commons)	Licence	Dimensions originales
joyeux3.jpg	File:Correggio - The Holy Night - Google Art Project.jpg	Public domain	3179x4332
joyeux4.jpg	File:Accademia - Presentation of Jesus in the Temple by Vittore Carpaccio Cat.44.jpg	Public domain	3760x6608
joyeux5.jpg	File:Matthys Voet - Finding in the Temple.jpeg	Public domain	1341x1800
lumineux1.jpg	File:Andrea del Verrocchio, Leonardo da Vinci - Baptism of Christ - Uffizi.jpg	Public domain	1565x1864
lumineux2.jpg	File:Marco d'oggiono, nozze di cana, 1519-22, da s.m. della pace 01.JPG	Public domain	2804x1560
lumineux3.jpg	File:Sermon-on-the-mount.jpg	Public domain	3521x2518
lumineux4.jpg	File:Transfiguration Raphael.jpg	Public domain	1067x1608
lumineux5.jpg	File:Leonardo da Vinci (1452-1519) - The Last Supper (1495-1498).jpg	Public domain	5076x2645
douloureux1.jpg	File:'Agony in the Garden' by Ludovico Carracci .jpg	Public domain	1229x1500
douloureux2.jpg	File:(Castres) La Flagellation du Christ - Lluis Borrassà - Musée Goya.jpg	Public domain	5291x7097
douloureux3.jpg	File:(Venice) Christ Crowned with Thorns by Giovanni Battista Langetti - Gallerie Accademia.jpg	Public domain	14006x8342
douloureux4.jpg	File:Christ Carrying the Cross MET DT714.jpg	CC0	2688x3722
douloureux5.jpg	File:Hendrick ter Brugghen The Crucifixion with the Virgin and Saint John.jpg	Public domain	3987x5943
glorieux1.jpg	File:Paintings by Tintoretto in Scuola Grande di San Rocco - The Resurrection of Christ.jpg	Public domain	3388x3706
glorieux2.jpg	File:Artus Wolffort - Ascension of Jesus Christ.jpg	Public domain	3348x4500
glorieux3.jpg	File:Santa Maria della Salute (Venice) - Discesa dello Spirito Santo di Tiziano (1555).jpg	Public domain	3943x6222
glorieux4.jpg	File:Accademia - Assumption of the Virgin by Veronese cat265.jpg	Public domain	3921x7379
glorieux5.jpg	File:Gentile da Fabriano - Coronation of the Virgin.jpg	Public domain	6374x8442
